总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
70.0,10748,硚口 长丰常码头 二至三环,天顺园九村,2室1厅1厨1卫,低楼层 (共11层),65.13㎡,平层,60㎡,板楼,东,钢混结构,其他,一梯四户,有,暂无数据,2023-10-01,拆迁还建房,2012-02-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20231009meSvF
90.0,10345,硚口 古田 二至三环,银舵新都,2室1厅1厨1卫,低楼层 (共11层),87㎡,平层,暂无数据,板楼,东南,钢混结构,其他,一梯三户,有,暂无数据,2023-04-29,商品房,2018-04-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230318vKO5x
99.0,16299,硚口 集贤 ,利民大厦,1室1厅1厨1卫,中楼层 (共13层),60.74㎡,平层,暂无数据,塔楼,东,钢混结构,简装,两梯十六户,有,暂无数据,2023-05-18,商品房,2014-06-09,普通住宅,满五年,非共有,"
                                有抵押 60万元 汉口银行 客户偿还
                              ",已上传房本照片,202305188dG2U
65.0,17164,硚口 集贤 一至二环,荣西社区,2室0厅1厨1卫,高楼层 (共6层),37.87㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-03-13,商品房,2009-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,2023031464Ht3
100.0,13083,硚口 集贤 一至二环,三五零六社区,2室1厅1厨1卫,中楼层 (共7层),76.44㎡,平层,暂无数据,板楼,北 南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-07-30,商品房,2011-04-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230808AxL8O
81.0,14907,硚口 古田 二至三环,招商江湾国际,2室2厅1厨1卫,低楼层 (共45层),54.34㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,三梯十二户,有,暂无数据,2023-02-25,商品房,2019-02-01,普通住宅,满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,202207239EBBj	
78.0,16512,硚口 集贤 ,金海名都,1室1厅1厨1卫,低楼层 (共32层),47.24㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯十四户,有,暂无数据,2021-10-11,商品房,2014-12-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20211013EPklj
67.5,18999,硚口 集贤 二至三环,硚口金利屋,1室0厅1厨1卫,高楼层 (共29层),35.53㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯七户,有,暂无数据,2023-02-07,商品房,2020-08-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20200728W7mc5
95.0,15400,硚口 集贤 一至二环,荣华社区,2室1厅1厨1卫,中楼层 (共8层),61.69㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-09-17,商品房,2018-11-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20201109Xby1P
80.0,13124,硚口 宝丰崇仁 ,中山大道7号,2室1厅1厨1卫,中楼层 (共6层),60.96㎡,平层,暂无数据,暂无数据,南,混合结构,简装,暂无数据,无,暂无数据,2022-09-08,商品房,2014-03-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210524lq9Qh
75.0,12482,硚口 宝丰崇仁 二至三环,中环新天地,2室1厅1厨1卫,中楼层 (共28层),60.09㎡,复式,暂无数据,塔楼,南 西,钢混结构,简装,四梯二十四户,有,暂无数据,2022-03-15,商品房,2007-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220318inBuL
99.0,13113,硚口 古田 二至三环,赛达国际,2室2厅1厨1卫,低楼层 (共32层),75.5㎡,平层,暂无数据,塔楼,东 南 北,钢混结构,其他,两梯五户,有,暂无数据,2022-08-30,商品房,2019-10-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20221018WGLhO
97.0,24645,硚口 宝丰崇仁 一至二环,硚房翰林珑城,1室1厅1厨1卫,中楼层 (共20层),39.36㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯十七户,有,暂无数据,2023-02-11,商品房,2020-02-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20220516QRFVV
57.0,14945,硚口 宝丰崇仁 一至二环,建乐小区,1室1厅1厨1卫,中楼层 (共7层),38.14㎡,平层,38㎡,板楼,南,混合结构,简装,暂无数据,无,暂无数据,2023-04-15,商品房,2015-03-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230417PoiWp
100.0,14489,硚口 古田 二至三环,古田五路7号,2室2厅1厨1卫,高楼层 (共6层),69.02㎡,平层,暂无数据,板楼,南,混合结构,其他,暂无数据,无,暂无数据,2023-03-09,房改房,2021-03-09,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230315ywn5S
77.0,9474,硚口 长丰常码头 一至二环,华生汉口城市广场,2室1厅1厨1卫,低楼层 (共11层),81.28㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯四户,有,暂无数据,2023-06-06,拆迁还建房,2021-06-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202305139Lc5f
